ir1_ch4,ir3_co,uv0_o3,uv1_no2,uv3_bro,uv4_h2co,uv5_so2,uv6_oclo,uv7_so2,uv8_h2o,uv9_chocho,lat,lon
4.74E+19,2.16E+18,7.38E+18,5.07082E+15,5.56423E+13,0,4.44525E+15,0,4.62406E+15,1.04E+22,0,-84.19354839,-180
4.48E+19,2.53E+18,7.32E+18,5.07489E+15,5.5453E+13,0,4.20232E+15,0,4.40837E+15,1.06E+22,0,-84.19354839,-174.2857143
4.40E+19,2.16E+18,7.26E+18,5.11318E+15,5.57177E+13,0,4.08692E+15,0,4.2138E+15,1.05E+22,0,-84.19354839,-168.5714286
4.47E+19,1.74E+18,7.20E+18,5.15618E+15,5.54787E+13,0,4.64264E+15,0,4.85196E+15,1.06E+22,0,-84.19354839,-162.8571429
4.40E+19,2.03E+18,7.13E+18,5.18811E+15,5.58542E+13,0,4.63891E+15,0,4.75173E+15,1.06E+22,0,-84.19354839,-157.1428571
4.38E+19,1.92E+18,7.09E+18,5.21891E+15,5.50002E+13,0,5.82398E+15,0,6.00758E+15,1.02E+22,0,-84.19354839,-151.4285714
4.29E+19,1.97E+18,7.08E+18,5.22266E+15,5.36704E+13,0,4.97256E+15,0,5.12936E+15,9.92E+21,0,-84.19354839,-145.7142857
4.24E+19,2.09E+18,7.11E+18,5.22366E+15,5.27376E+13,0,3.74207E+15,0,3.85851E+15,9.89E+21,0,-84.19354839,-140
4.17E+19,2.95E+18,7.12E+18,5.22003E+15,5.16149E+13,0,3.43077E+15,9.14353E+12,3.53143E+15,9.70E+21,0,-84.19354839,-134.2857143
4.13E+19,1.88E+18,7.14E+18,5.21455E+15,5.06333E+13,0,3.01194E+15,1.30358E+13,3.15044E+15,9.35E+21,0,-84.19354839,-128.5714286
4.09E+19,2.43E+18,7.14E+18,5.2252E+15,4.9568E+13,0,3.43684E+15,1.33108E+13,3.61188E+15,8.75E+21,0,-84.19354839,-122.8571429
4.01E+19,2.47E+18,7.13E+18,5.24254E+15,4.78034E+13,0,3.03069E+15,1.59733E+13,3.14562E+15,8.01E+21,0,-84.19354839,-117.1428571
3.95E+19,2.79E+18,7.14E+18,5.27278E+15,4.68971E+13,0,3.17317E+15,1.71312E+13,3.33578E+15,6.99E+21,0,-84.19354839,-111.4285714
3.70E+19,1.96E+18,7.16E+18,5.30788E+15,4.6564E+13,0,1.87771E+15,1.53885E+13,2.00012E+15,6.35E+21,0,-84.19354839,-105.7142857
3.54E+19,1.48E+18,7.17E+18,5.32217E+15,4.63464E+13,0,1.56713E+15,1.58206E+13,1.60552E+15,5.90E+21,0,-84.19354839,-100
3.63E+19,1.57E+18,7.19E+18,5.32365E+15,4.69893E+13,0,2.56229E+15,1.72071E+13,2.64123E+15,6.33E+21,0,-84.19354839,-94.28571429
3.88E+19,2.92E+18,7.21E+18,5.30001E+15,4.87677E+13,0,2.31063E+15,1.7837E+13,2.345E+15,7.38E+21,0,-84.19354839,-88.57142857
4.10E+19,3.13E+18,7.25E+18,5.26197E+15,5.0803E+13,0,2.34081E+15,1.52959E+13,2.39336E+15,8.60E+21,0,-84.19354839,-82.85714286
4.20E+19,4.66E+18,7.28E+18,5.23987E+15,5.34135E+13,0,2.92134E+15,1.24951E+13,2.97444E+15,1.00E+22,0,-84.19354839,-77.14285714
4.19E+19,2.39E+18,7.32E+18,5.20245E+15,5.5355E+13,0,2.90076E+15,1.15912E+13,3.02047E+15,1.08E+22,0,-84.19354839,-71.42857143
4.13E+19,2.55E+18,7.34E+18,5.18342E+15,5.61404E+13,0,3.62337E+15,1.2674E+13,3.77204E+15,1.16E+22,0,-84.19354839,-65.71428571
4.14E+19,1.59E+18,7.35E+18,5.19008E+15,5.57608E+13,0,3.92053E+15,1.30075E+13,4.03833E+15,1.14E+22,0,-84.19354839,-60
3.97E+19,1.70E+18,7.34E+18,5.20167E+15,5.55437E+13,0,3.67977E+15,1.22413E+13,3.81391E+15,1.02E+22,0,-84.19354839,-54.28571429
3.95E+19,1.84E+18,7.33E+18,5.20952E+15,5.42973E+13,0,3.22695E+15,1.12404E+13,3.38557E+15,1.01E+22,0,-84.19354839,-48.57142857
3.98E+19,1.54E+18,7.33E+18,5.2203E+15,5.35288E+13,0,3.16822E+15,1.02914E+13,3.29053E+15,9.46E+21,0,-84.19354839,-42.85714286
3.72E+19,1.23E+18,7.32E+18,5.2202E+15,5.15104E+13,0,3.84392E+15,1.07674E+13,4.10507E+15,8.00E+21,0,-84.19354839,-37.14285714
3.64E+19,1.10E+18,7.34E+18,5.20906E+15,5.05962E+13,0,3.07797E+15,8.76932E+12,3.21271E+15,7.49E+21,0,-84.19354839,-31.42857143
3.56E+19,1.24E+18,7.40E+18,5.20311E+15,5.00079E+13,0,2.10361E+15,9.22024E+12,2.23751E+15,7.21E+21,0,-84.19354839,-25.71428571
3.56E+19,1.04E+18,7.43E+18,5.21012E+15,5.01248E+13,0,2.0491E+15,8.48859E+12,2.18165E+15,6.92E+21,0,-84.19354839,-20
3.52E+19,1.18E+18,7.44E+18,5.19717E+15,4.94266E+13,0,2.54571E+15,7.75923E+12,2.67342E+15,6.38E+21,0,-84.19354839,-14.28571429
3.51E+19,1.45E+18,7.45E+18,5.17337E+15,4.8497E+13,0,1.16829E+15,7.08949E+12,1.25184E+15,6.16E+21,0,-84.19354839,-8.571428571
3.70E+19,1.83E+18,7.46E+18,5.15053E+15,4.83533E+13,0,2.55212E+15,6.57409E+12,2.67347E+15,5.77E+21,0,-84.19354839,-2.857142857
3.84E+19,2.27E+18,7.46E+18,5.15009E+15,4.76636E+13,0,2.06493E+15,6.39003E+12,2.16601E+15,4.88E+21,0,-84.19354839,2.857142857
3.68E+19,2.40E+18,7.46E+18,5.13313E+15,4.71082E+13,0,1.60357E+15,5.11429E+12,1.70609E+15,4.45E+21,0,-84.19354839,8.571428571
3.71E+19,4.35E+18,7.45E+18,5.115E+15,4.60018E+13,0,2.88845E+15,6.4592E+12,3.09168E+15,4.30E+21,0,-84.19354839,14.28571429
3.73E+19,4.22E+18,7.44E+18,5.10195E+15,4.55147E+13,0,2.21534E+15,4.47083E+12,2.39768E+15,4.23E+21,0,-84.19354839,20
3.84E+19,4.45E+18,7.41E+18,5.07299E+15,4.44912E+13,0,2.83101E+15,4.89423E+12,2.91641E+15,4.15E+21,0,-84.19354839,25.71428571
3.85E+19,3.30E+18,7.38E+18,5.04089E+15,4.40519E+13,0,3.24686E+15,4.49001E+12,3.39678E+15,4.13E+21,0,-84.19354839,31.42857143
3.73E+19,3.24E+18,7.33E+18,5.01791E+15,4.33244E+13,0,4.61062E+15,4.55502E+12,4.99343E+15,4.10E+21,0,-84.19354839,37.14285714
3.61E+19,3.17E+18,7.31E+18,5.01353E+15,4.18585E+13,0,2.43829E+15,3.51712E+12,2.52848E+15,3.89E+21,0,-84.19354839,42.85714286
3.64E+19,2.84E+18,7.28E+18,5.016E+15,4.18379E+13,0,2.0493E+15,4.07055E+12,2.15687E+15,3.64E+21,0,-84.19354839,48.57142857
3.38E+19,2.55E+18,7.24E+18,5.00138E+15,4.10482E+13,0,1.59505E+15,2.51089E+12,1.71627E+15,3.60E+21,0,-84.19354839,54.28571429
3.27E+19,2.38E+18,7.21E+18,5.00349E+15,4.04882E+13,0,3.52072E+15,3.37059E+12,3.85314E+15,3.61E+21,0,-84.19354839,60
3.21E+19,2.38E+18,7.17E+18,5.03317E+15,4.02122E+13,0,3.48348E+15,3.21953E+12,3.90447E+15,3.52E+21,0,-84.19354839,65.71428571
3.14E+19,2.44E+18,7.14E+18,5.06551E+15,4.0103E+13,0,1.08969E+15,4.54455E+12,1.17677E+15,3.31E+21,0,-84.19354839,71.42857143
