ir1_ch4,ir3_co,uv0_o3,uv1_no2,uv3_bro,uv4_h2co,uv5_so2,uv6_oclo,uv7_so2,uv8_h2o,uv9_chocho,lat,lon
5.425039269676668e+19,3.211163690096646e+18,7.054886418673072e+18,4227632366045744.0,43657096426668.79,0.0,1.462157057196032e+16,2060745693815.3516,1.2823569553686528e+16,5.673241184578962e+21,132205713918424.61,-84.19354838709677,-180.0
6.8816946260593435e+19,2.670329525048362e+18,7.058565734237334e+18,4189459086754466.5,45186845789889.914,0.0,8095884682898091.0,1151599674465.1135,7199568930974379.0,5.957502626597002e+21,119493805948321.19,-84.19354838709677,-174.28571428571428
7.803696071273754e+19,6.81562093390843e+18,7.08967937262965e+18,4163941774876107.0,45071878645805.8,0.0,8597137075994624.0,1530127505161.739,7712632039538688.0,6.357968859364406e+21,155387274664813.72,-84.19354838709677,-168.57142857142858
5.251827563293659e+19,3.1313837173389816e+19,7.086988332656396e+18,4127218305123042.0,45514467836668.695,0.0,1.177494543663104e+16,1438339135638.252,1.0765193525067776e+16,6.756436942096774e+21,124870051250888.34,-84.19354838709677,-162.85714285714286
4.9635573094541844e+19,5.258167182383472e+18,6.977882993732067e+18,4075370100310552.0,45917185854311.33,0.0,7622498089455301.0,877086151652.8291,6783971738094041.0,7.082973650231433e+21,134536151748858.78,-84.19354838709677,-157.14285714285714
4.788705253820779e+19,1.2906314525103946e+19,6.876077339996702e+18,4033483340388306.5,44621197908618.15,0.0,1.421298520597463e+16,5183946134537.541,1.2521705776663756e+16,7.095410818523742e+21,152354630985318.4,-84.19354838709677,-151.42857142857142
5.202603003781032e+19,5.899631170000202e+18,6.796062961059827e+18,4001779696150625.0,44040646214943.695,0.0,1.1376606159539768e+16,1258452319429.818,9900424140161024.0,6.881253344996112e+21,133604043585903.6,-84.19354838709677,-145.71428571428572
5.425235092787331e+19,8.954766109498294e+18,6.735970622757764e+18,3897728073191688.5,43398981900539.5,0.0,1.253430773415936e+16,610916151038.4,1.1104253052103338e+16,6.727812678518589e+21,148602644037632.0,-84.19354838709677,-140.0
6.435254084756696e+19,1.9225670374367265e+19,6.64041398908572e+18,3825865698513948.0,43064617786915.58,0.0,8331301536024869.0,816178618496.5267,7607306146695461.0,6.667579116763541e+21,154460984545458.1,-84.19354838709677,-134.28571428571428
1.0135081268192631e+20,1.826972445778053e+19,6.379622805952915e+18,3708458916170764.0,41993406075712.79,0.0,6574779356151808.0,999449044875.6943,5763326940282880.0,6.784434541319885e+21,168576769613633.5,-84.19354838709677,-128.57142857142856
