ir1_ch4,ir3_co,uv0_o3,uv1_no2,uv3_bro,uv4_h2co,uv5_so2,uv6_oclo,uv7_so2,uv8_h2o,uv9_chocho,lat,lon
3.4307543338397078e+19,2.293902699318618e+18,5.55810707979419e+18,3634524889599819.0,53640775121396.64,0.0,5840648055779400.0,36610425285239.35,5597530643460168.0,5.329473064462189e+21,153046515783837.28,-84.19354838709677,-180.0
3.449923869717286e+19,1.4698575366140255e+18,5.583424375774045e+18,3634719894390529.0,52726302979119.414,0.0,7445194739009098.0,1734976864816.5566,7107022065629501.0,5.644420367929505e+21,151086326626809.22,-84.19354838709677,-174.28571428571428
3.48989347138017e+19,1.6693375290166426e+18,5.657608587505933e+18,3671005807742246.0,52676742715257.02,0.0,6680668553243167.0,1560132266884.8696,6391302369193294.0,5.693804425618037e+21,141963347853059.88,-84.19354838709677,-168.57142857142858
3.5314163845182628e+19,1.5797738226639194e+18,5.763559716274874e+18,3707401218624618.5,53014869438321.11,0.0,6026303803821039.0,14520788416662.252,5743602537864232.0,5.853894222319737e+21,143590945702562.5,-84.19354838709677,-162.85714285714286
3.527842508953769e+19,2.5237975853237187e+18,5.84505613265272e+18,3745632170592222.0,52142441445636.375,0.0,5727061116179621.0,877086151652.8291,5366870478302482.0,6.177565378355246e+21,149539123797961.12,-84.19354838709677,-157.14285714285714
3.4790367076561138e+19,2.0376886832554604e+18,5.963084029027007e+18,3793264604559927.5,51185813777839.06,0.0,5960620194967447.0,5802599093257.541,5628746948405242.0,6.427377415117946e+21,156232221590311.78,-84.19354838709677,-151.42857142857142
3.5113729151927505e+19,1.9258092872631882e+18,6.051296443201521e+18,3831533002617533.5,50786436398483.445,0.0,6494134353201431.0,1258452319429.818,6129322455359319.0,6.566998334086505e+21,137814323276845.45,-84.19354838709677,-145.71428571428572
3.4491140460741153e+19,2.2884316108260682e+18,6.098190276458609e+18,3882620048228321.0,50209708423486.875,0.0,6237415757241011.0,901447077630.4,5972829524205429.0,6.695356398919643e+21,148732289809418.4,-84.19354838709677,-140.0
3.3116312358390096e+19,2.692075353363673e+18,6.158059213367448e+18,3910313997965966.5,49070025199954.35,0.0,6080313830912113.0,1150931525760.5269,5803264817687987.0,6.935964982578693e+21,162153519096314.72,-84.19354838709677,-134.28571428571428
3.298008301316259e+19,3.2814662697047675e+18,6.238690382460142e+18,3978125256156609.0,48000353196833.445,0.0,6777907627612459.0,999449044875.6943,6430660924565474.0,6.506804241203076e+21,139506581864772.78,-84.19354838709677,-128.57142857142856
3.2450548441071546e+19,2.0594410455963866e+18,6.322079949267183e+18,4015561759437131.0,47582978200190.6,0.0,6967097599206919.0,1263121256466.226,6607926794181750.0,6.29191877814188e+21,139147698471151.3,-84.19354838709677,-122.85714285714286
3.1874194253176115e+19,3.2136548110493015e+18,6.365370009769811e+18,4052060859066512.0,47313082785001.03,0.0,4457262727229167.0,1380476462047.9224,4229045939801137.0,5.975225336816901e+21,142341439830648.97,-84.19354838709677,-117.14285714285714
3.0993634998342046e+19,2.0121068080103939e+18,6.438076274807797e+18,4092736684862923.5,46346120704489.164,0.0,5067474664865578.0,1366242823105.9395,4792232865694316.0,4.894523198282506e+21,141482581531049.78,-84.19354838709677,-111.42857142857143
2.998639832171228e+19,1.8738423898306235e+18,6.40252837742281e+18,4117114403119081.5,44887288968057.51,0.0,4754723015979707.0,1327690985597.922,4488865976276418.5,3.910399423102989e+21,138908663411865.7,-84.19354838709677,-105.71428571428571
2.9951787568015524e+19,1.876446047909466e+18,6.488411132304606e+18,4126707913548648.5,44185990091919.805,0.0,4731114678961524.0,1083665292032.9808,4495822166830528.0,3.4599380557243105e+21,143578861450137.03,-84.19354838709677,-100.0
3.0243531777958093e+19,2.1414853660451674e+18,6.452070866048423e+18,4117937437459482.0,44918519967791.22,0.0,3941401624185354.0,1114714626507.7485,3721233311952066.0,3.726197222325262e+21,142122689038147.56,-84.19354838709677,-94.28571428571428
3.1579494131156627e+19,3.217578681261663e+18,6.491153732055785e+18,4101677847956692.0,45787436575406.14,0.0,3982208255703598.5,882367818538.8198,3750425028603531.5,4.17796840522849e+21,157393363910605.53,-84.19354838709677,-88.57142857142857
3.3780704220684358e+19,3.918017574524083e+18,6.415311333131419e+18,4050002118797058.5,47623753207957.39,0.0,4856380095102677.0,1020287134726.1812,4557722804768671.0,4.4318439499414194e+21,145201731440483.16,-84.19354838709677,-82.85714285714286
3.487023001328286e+19,2.7897799866717225e+18,6.447614539095855e+18,4020258833852319.5,48129375774617.836,0.0,6093081239073777.0,1280473652828.368,5696931361948404.0,4.740003955224211e+21,139817969064776.12,-84.19354838709677,-77.14285714285714
3.562803558283731e+19,7.242091178698686e+18,6.428632189517118e+18,3998904772762490.0,49110441013713.98,0.0,6096403453641047.0,542398820641.9018,5754523061900536.0,4.934088896595825e+21,142761854098850.66,-84.19354838709677,-71.42857142857143
3.5392631615932117e+19,3.720579970460222e+18,6.366595114674291e+18,3965712991443916.0,49798658848111.02,0.0,1.1866556472001062e+16,1019558634147.8059,1.1112573421578136e+16,4.941659316136159e+21,141857831272631.16,-84.19354838709677,-65.71428571428571
3.5923932111520944e+19,2.7304841431687726e+18,6.32557612737843e+18,3920131872890884.5,49797774730841.914,0.0,6164605259872766.0,945270309455.7638,5853599257719191.0,5.064153079680776e+21,134409057971262.17,-84.19354838709677,-60.0
3.445888296430444e+19,3.252828756009176e+18,6.184570749474221e+18,3870544010584727.5,49438765523305.305,0.0,5722565781845250.0,3049114979182.8237,5385773546647276.0,4.6554023107298213e+21,146046758078922.5,-84.19354838709677,-54.28571428571428
3.4053942253423645e+19,3.7103640527423795e+18,6.075631030758705e+18,3820661467190316.0,48721554835811.56,0.0,6225418387315545.0,937296748786.3319,5829408639335406.0,4.154576653073945e+21,140771390106394.06,-84.19354838709677,-48.571428571428555
3.4252980917188678e+19,5.832680332343534e+18,5.96058543076242e+18,3772907395081960.5,49032757531905.3,0.0,5784817836022746.0,1053496839881.8586,5447616087475386.0,3.778344204189759e+21,143039250340606.12,-84.19354838709677,-42.85714285714286
3.1483442809316844e+19,7.395457534122057e+18,5.854127224362155e+18,3721735738639696.0,47768453451428.805,0.0,6220412643381406.0,1121306485175.2554,5779922875821974.0,3.0442250775682655e+21,149946977498898.94,-84.19354838709677,-37.14285714285714
3.041224188287279e+19,1.2304814667744362e+19,5.709471452038355e+18,3658243280397382.5,47310378789985.4,0.0,4263183967745148.5,1256383114445.383,4001099631075338.5,2.6041506714532693e+21,129031907225526.39,-84.19354838709677,-31.428571428571416
3.0885542877330883e+19,7.69301357987791e+18,5.617324026528431e+18,3618171409050445.0,46779432446312.46,0.0,6134413524341230.0,20701219397491.508,5730553361144410.0,2.397449254129348e+21,124190325302218.33,-84.19354838709677,-25.714285714285722
2.9746529131589206e+19,5.133011597335071e+18,5.506071503803885e+18,3572933898556258.0,46551737495373.88,0.0,4409878316475735.5,923819300999.7108,4167557753038517.5,2.3922277564868597e+21,128709612590420.73,-84.19354838709677,-20.0
2.898080915486542e+19,7.316283548445244e+18,5.309647807303413e+18,3529365089695722.5,45339770517230.78,0.0,3951871848349696.0,2260194645613.8027,3715566618613574.0,2.2961908849217217e+21,149975607969091.9,-84.19354838709677,-14.285714285714278
2.8465094114319536e+19,5.018157894117335e+18,5.176872479343043e+18,3471744449543389.5,44376809843078.33,0.0,5022822010572420.0,1409328989128.2126,4720609461322902.0,1.9558666508234685e+21,132313065434420.05,-84.19354838709677,-8.571428571428555
2.7537104186626777e+19,2.8904674359022556e+18,5.136538858205718e+18,3420584208073320.5,43665793553128.14,0.0,4251180515028274.5,1125956485671.7004,4016439697873126.0,1.8601187226240347e+21,120815713555341.45,-84.19354838709677,-2.857142857142861
2.6440507462166315e+19,3.44958019827067e+18,5.076587957564117e+18,3364755171796588.0,44383174714111.59,0.0,4838997745077875.0,2553449655029.7847,4541614655921870.0,1.7551801083932626e+21,141944292742920.06,-84.19354838709677,2.857142857142861
2.4929768004674572e+19,2.8911204594394977e+18,4.945420739017757e+18,3314595435852560.0,44392630237923.86,0.0,2588484988578037.5,1337958679543.2925,2420928341826601.0,1.6518529884508345e+21,128045569357894.44,-84.19354838709677,8.571428571428584
2.4707899002014028e+19,2.54600034408098e+18,4.857522835846016e+18,3265012313342218.0,44134417783666.875,0.0,3789768443660965.5,1648860886393.7634,3561640513576466.0,1.5724026811069783e+21,146087726315567.62,-84.19354838709677,14.285714285714278
2.394137231226276e+19,2.47007563552706e+18,4.789140047352114e+18,3225238102683189.5,43770127540534.22,0.0,3036960213235859.5,1656387174917.69,2867248300700471.5,1.500020172022386e+21,133565077224454.03,-84.19354838709677,20.0
2.282749069312798e+19,3.6045129461171835e+18,4.753371955710419e+18,3218324008990888.5,43323699372494.54,0.0,3478000364714003.0,1538881666647.8804,3249443469469040.5,1.3544251976266133e+21,138347414083180.75,-84.19354838709677,25.714285714285722
2.1975824177466438e+19,3.0142871862993536e+18,4.717869120682891e+18,3226289643218234.5,43452433752085.01,0.0,4303516365576948.5,2790026375494.288,3961844618845328.0,1.2238783626962262e+21,128828230813521.38,-84.19354838709677,31.428571428571445
2.1301595360361587e+19,2.9240537517914194e+18,4.694372465330279e+18,3224643380897485.5,43476682027508.21,0.0,7810231305153930.0,1515609205156.5945,7055818488277618.0,1.134784968660087e+21,135128307748500.53,-84.19354838709677,37.14285714285714
2.0824989587887284e+19,2.754962484401155e+18,4.665052613432565e+18,3224573209549746.0,43059259108845.695,0.0,5319206211799260.0,1739428452640.3484,4939185082181978.0,1.0361885103129435e+21,142102831113095.47,-84.19354838709677,42.85714285714286
2.0139575838133363e+19,3.8523763929632604e+18,4.658367991473637e+18,3239234348344901.0,42388797430947.88,0.0,5169823327437343.0,3149801253965.3066,4780761221386839.0,9.058781632926021e+20,146008438581120.66,-84.19354838709677,48.571428571428584
1.9979976046172037e+19,2.7614294502526623e+18,4.63110623965789e+18,3251344746521537.5,42803313272978.49,0.0,4682751299602072.0,869648087866.2692,4129603361060032.0,8.365269355177188e+20,127613444654760.4,-84.19354838709677,54.28571428571428
2.029783458000354e+19,3.015350685295177e+18,4.620540687628007e+18,3259881933918307.0,41619974601039.65,0.0,6397281588383580.0,2660640393183.34,5797447352943902.0,8.327791133746225e+20,138803285993035.7,-84.19354838709677,60.0
1.9737977259089416e+19,3.005094378554291e+18,4.627252013981603e+18,3261985435850217.5,42461114764534.38,0.0,6178778043307479.0,2008136944170.7437,5411319113150199.0,8.061211641709473e+20,125631825863878.14,-84.19354838709677,65.71428571428572
1.96266984413321e+19,3.387405778257825e+18,4.621306080844584e+18,3270106506571767.0,42269198939172.77,0.0,5155846222019298.0,109124631621357.0,4633083250681228.0,8.207042799436572e+20,127765033307448.92,-84.19354838709677,71.42857142857144
1.9941978107221262e+19,2.397599026713148e+18,4.618296023248626e+18,3279110210092931.5,42315005869522.75,0.0,4761765866674443.0,806690337348.2806,4234873718632974.5,8.403222942039154e+20,131802667492605.61,-84.19354838709677,77.14285714285717
1.975851985509895e+19,3.344108150250155e+18,4.619516669068058e+18,3265013572116320.5,42157166493628.88,0.0,4921255965835959.0,746612915573.9224,4452653474179258.0,8.631016200659515e+20,114040610514992.67,-84.19354838709677,82.85714285714289
2.0354450341717033e+19,2.733673389367502e+18,4.632267480940424e+18,3265303779149187.0,42409516757826.3,0.0,7436997482350104.0,1398781215302.7048,6653844216099011.0,9.032300507803042e+20,119755193105031.62,-84.19354838709677,88.57142857142856
2.087879863418981e+19,2.636967376185243e+18,4.638828065828472e+18,3259715945920651.0,42731584477864.81,0.0,4281822060001937.0,1328970614234.604,3858406692689882.0,9.728744211350357e+20,138340354307327.56,-84.19354838709677,94.28571428571428
2.1735135336676364e+19,2.918591005688848e+18,4.644485384202113e+18,3276286745448725.0,42652019472241.25,0.0,3273499103607011.5,14621397855474.494,3005266166357106.0,1.050794715280005e+21,142837170295863.66,-84.19354838709677,100.0
2.3235363494811554e+19,3.8618914360935583e+18,4.6110494305233213e+18,3268860532354922.0,42429505909019.34,0.0,4250613678141584.5,3195008684785.882,3940106156229459.5,1.1638571270011343e+21,148704123664160.94,-84.19354838709677,105.71428571428572
2.3930803472343466e+19,4.332222731222599e+18,4.641683845512326e+18,3284716747404506.5,43563282008250.42,0.0,3431369775623224.0,1149810430778.1577,3241186774303414.5,1.228012831335704e+21,136336950535453.06,-84.19354838709677,111.42857142857144
2.4146719437895315e+19,2.959079799160101e+18,4.720836831338437e+18,3313674091850302.5,42680817671509.086,0.0,3842804907682081.5,1305480044652.606,3605242213472449.5,1.2567763724844705e+21,127782266840285.31,-84.19354838709677,117.14285714285717
2.4749046532604613e+19,3.8290833097909765e+18,4.787991530894617e+18,3368691193902647.0,41504508743681.875,0.0,1.0923621187105722e+16,1166697984770.4382,1.0489334420210734e+16,1.359057097436041e+21,120800130448926.75,-84.19354838709677,122.85714285714289
2.593484154996007e+19,4.768435505425293e+18,4.859793838437382e+18,3406064382223066.5,42231417020341.375,0.0,4732518282428857.0,2183613527869.6538,4356615621674394.5,1.5338830425121287e+21,131679418554444.84,-84.19354838709677,128.57142857142856
2.6237812659992277e+19,3.5899638005144996e+18,4.924127385916582e+18,3432295352643594.0,42761183347483.91,0.0,4470987979309346.5,1213710179777.0232,4154031506262682.5,1.7097831303948348e+21,129387895114154.55,-84.19354838709677,134.28571428571428
2.7545451809470534e+19,4.012628553081646e+18,4.98917140657221e+18,3452285917076765.0,43518069535798.94,0.0,3624265893848349.5,1113066877515.974,3334690114301739.5,1.8801339618733384e+21,140291964723996.55,-84.19354838709677,140.0
2.758104321913634e+19,3.162055362128522e+18,5.044597486764263e+18,3483278739954744.5,43540696467357.69,0.0,5057962963404937.0,1261954313400.3042,4867256409600819.0,1.9863716266205892e+21,136021697726390.25,-84.19354838709677,145.71428571428572
2.8188760814503776e+19,2.9125281923873946e+18,5.09957031963696e+18,3521191710732735.5,43697778758006.85,0.0,4974741425907302.0,4418882075831.521,4722251377672192.0,2.0731192266580744e+21,132916770578299.78,-84.19354838709677,151.42857142857144
